,question,answer
0,What is the highest Total_Energy_Usage_YTD?,6999351.86
1,What is the lowest Total_Energy_Usage_YTD?,3016220.58
2,What is the sum of Total_Energy_Usage_YTD?,467176387.40000004
3,What is the average of Total_Energy_Usage_YTD?,5023402.02
4,Name the building with the highest Total_Energy_Usage_YTD?,LV_Incoming_BEN_AS2.AS1_Main_Switch
5,Name the building with the lowest Total_Energy_Usage_YTD?,LV_Incoming_TER_EMC
6,Number of buildings more than 6513086 of Total_Energy_Usage_YTD?,5
7,What are the buildings with more than 6513086 of Total_Energy_Usage_YTD?,"['Terraces - T11', 'Terraces - T13', 'LV_Incoming_BEN_AS2.AS1_Main_Switch', 'Beth Gleeson', 'Indoor Sports Centre']"
8,What is the highest Total_Energy_Usage_MTD?,29624.67
9,What is the lowest Total_Energy_Usage_MTD?,12288.87
10,What is the sum of Total_Energy_Usage_MTD?,1908852.29
11,What is the average of Total_Energy_Usage_MTD?,20525.29
12,Name the building with the highest Total_Energy_Usage_MTD?,Childrens Centre
13,Name the building with the lowest Total_Energy_Usage_MTD?,Agora East
14,Number of buildings more than 28315 of Total_Energy_Usage_MTD?,5
15,What are the buildings with more than 28315 of Total_Energy_Usage_MTD?,"['Terraces - NR7', 'Animal_and_Glass Houses', 'Childrens Centre', 'Health Sciences123', 'Hooper Szental']"
16,What is the highest Total_Energy_Usage_WTD?,11953.11
17,What is the lowest Total_Energy_Usage_WTD?,4039.28
18,What is the sum of Total_Energy_Usage_WTD?,785071.05
19,What is the average of Total_Energy_Usage_WTD?,8441.62
20,Name the building with the highest Total_Energy_Usage_WTD?,Social Sciences
21,Name the building with the lowest Total_Energy_Usage_WTD?,LIMS2
22,Number of buildings more than 11549 of Total_Energy_Usage_WTD?,5
23,What are the buildings with more than 11549 of Total_Energy_Usage_WTD?,"['LV_Incoming_TER_NR', 'Mont Park', 'John Scott Meeting House', 'LV_Incoming_SHS.SHS_Main_Supply', 'Social Sciences']"
24,What is the highest Cost_Difference_with_Baseline?,59950.69
25,What is the lowest Cost_Difference_with_Baseline?,40056.61
26,What is the sum of Cost_Difference_with_Baseline?,4618215.029999998
27,What is the average of Cost_Difference_with_Baseline?,49658.23
28,Name the building with the highest Cost_Difference_with_Baseline?,Menzies College Main Supply
29,Name the building with the lowest Cost_Difference_with_Baseline?,Terraces - NR7
30,Number of buildings more than 59266 of Cost_Difference_with_Baseline?,5
31,What are the buildings with more than 59266 of Cost_Difference_with_Baseline?,"['LV_Incoming_TER_EMB', 'MC Public Lighting', 'Hooper Szental', 'Menzies College Main Supply', 'Peribolos East']"
32,What is the highest Estimated_Total_Cost?,598967.1
33,What is the lowest Estimated_Total_Cost?,308300.88
34,What is the sum of Estimated_Total_Cost?,42146706.84
35,What is the average of Estimated_Total_Cost?,453190.4
36,Name the building with the highest Estimated_Total_Cost?,LV_Incoming_TER_EM
37,Name the building with the lowest Estimated_Total_Cost?,BS2
38,Number of buildings more than 580843 of Estimated_Total_Cost?,5
