,question,answer
0,What is the highest Total_Energy_Usage_YTD?,6485326.38
1,What is the lowest Total_Energy_Usage_YTD?,3370791.68
2,What is the sum of Total_Energy_Usage_YTD?,63709761.39
3,What is the average of Total_Energy_Usage_YTD?,5309146.78
4,What is the building with the highest Total_Energy_Usage_YTD?,Union
5,What is the building with the lowest Total_Energy_Usage_YTD?,Wildlife Reserve
6,Number of buildings more than 6368612 of Total_Energy_Usage_YTD?,1
7,What are the buildings with more than 6368612 of Total_Energy_Usage_YTD?,['Union']
8,What is the highest Total_Energy_Usage_MTD?,26017.35
9,What is the lowest Total_Energy_Usage_MTD?,14343.5
10,What is the sum of Total_Energy_Usage_MTD?,230654.62
11,What is the average of Total_Energy_Usage_MTD?,19221.22
12,What is the building with the highest Total_Energy_Usage_MTD?,RLR Building
13,What is the building with the lowest Total_Energy_Usage_MTD?,Library
14,Number of buildings more than 25270 of Total_Energy_Usage_MTD?,1
15,What are the buildings with more than 25270 of Total_Energy_Usage_MTD?,['RLR Building']
16,What is the highest Total_Energy_Usage_WTD?,11953.11
17,What is the lowest Total_Energy_Usage_WTD?,4039.28
18,What is the sum of Total_Energy_Usage_WTD?,106141.55
19,What is the average of Total_Energy_Usage_WTD?,8845.13
20,What is the building with the highest Total_Energy_Usage_WTD?,Social Sciences Building
21,What is the building with the lowest Total_Energy_Usage_WTD?,LIMS2 Building
22,Number of buildings more than 11800 of Total_Energy_Usage_WTD?,1
23,What are the buildings with more than 11800 of Total_Energy_Usage_WTD?,['Social Sciences Building']
24,What is the highest Cost_Difference_with_Baseline?,57084.96
25,What is the lowest Cost_Difference_with_Baseline?,41397.15
26,What is the sum of Cost_Difference_with_Baseline?,578398.77
27,What is the average of Cost_Difference_with_Baseline?,48199.9
28,What is the building with the highest Cost_Difference_with_Baseline?,Library
29,What is the building with the lowest Cost_Difference_with_Baseline?,Pathogen Building
30,Number of buildings more than 54094 of Cost_Difference_with_Baseline?,1
31,What are the buildings with more than 54094 of Cost_Difference_with_Baseline?,['Library']
32,What is the highest Estimated_Total_Cost?,577613.37
33,What is the lowest Estimated_Total_Cost?,316936.34
34,What is the sum of Estimated_Total_Cost?,5493253.19
35,What is the average of Estimated_Total_Cost?,457771.1
36,What is the building with the highest Estimated_Total_Cost?,Union
